,value,open_value,market_cap(억원),market_cap_rank,title
1310,96000,91000,105,코스피1311위,현대비앤지스틸우
1311,10485,10510,105,,KB 레버리지 나스닥 100 ETN
1312,2095,2005,105,,신한 인버스 2X 은 선물 ETN(H)
1313,5800,5780,104,,KODEX 보험
1314,13040,13260,104,,KODEX 게임산업
1315,11535,11860,104,,KODEX 콩선물(H)
1316,10380,10380,104,,TRUE 인버스 플래티넘 선물 ETN
1317,14815,14895,104,,KINDEX 스마트하이베타
1318,15660,15510,103,,TIGER 코스닥150IT
1319,10330,10200,103,,삼성 인버스 2X 금 선물 ETN(H)
1320,17135,17225,103,,KINDEX 스마트로우볼
1321,10265,10265,103,,TRUE 유로선물 ETN B
1322,10070,10035,101,,신한 달러인덱스 선물 ETN(H)
1323,40170,40280,100,,TREX 펀더멘탈 200
1324,10020,9990,100,,TRUE 엔선물 ETN B
1325,16665,16655,100,,SMART 선진국MSCI World(합성 H)
1326,4435,4440,100,,TIGER 미국S&P500선물인버스(H)
1327,9945,9825,99,,미래에셋 인버스 미디어엔터 Core5 ETN
1328,9930,9945,99,,신한 인버스 달러인덱스 선물 ETN(H)
1329,97050,96995,99,,KINDEX 국고채10년
1330,15175,15175,99,,ARIRANG KS밸류가중TR
1331,9845,9845,98,,TRUE 유로스탁스50 양매도 5% OTM ETN(H)
1332,9835,9905,98,,KINDEX 모닝스타싱가포르리츠채권혼합
1333,4915,5400,98,,삼성 화장품 테마주 ETN
1334,9805,9870,98,,TRUE 플래티넘 선물 ETN
1335,12240,12260,98,,KBSTAR V&S셀렉트밸류채권혼합
1336,15100,14500,98,코스피1337위,대한제당우
1337,6990,7130,98,코스피1338위,계양전기우
1338,9765,9660,98,,KB 인버스 2X 나스닥 100 ETN
1339,9760,9805,98,,TRUE 인버스 엔선물 ETN B
1340,4640,4545,97,,KINDEX 일본TOPIX인버스(합성 H)
1341,19275,20625,96,,KINDEX 일본TOPIX레버리지(H)
1342,5345,5335,96,,SMART 중국본토 중소형 CSI500(합성 H)
1343,18005,17815,96,,KODEX 미국S&P산업재(합성)
1344,4790,4585,96,,신한 USD K200 선물 바이셀 ETN
1345,11970,12150,96,,KODEX TSE일본리츠(H)
1346,15855,15755,95,,KODEX 일본TOPIX100
1347,9510,9510,95,,TRUE 인버스 유로선물 ETN B
1348,9510,9525,95,,하나 KRX BBIG K-뉴딜 ETN
1349,7830,8040,95,코스피1350위,대덕1우
1350,9445,9445,94,,TRUE 레버리지 엔선물 ETN B
